word,stem,lemma_n,lemma_v,lemma_a,lemma_r
autumn,autumn,autumn,autumn,autumn,autumn
avenue,avenu,avenue,avenue,avenue,avenue
awake,awak,awake,awake,awake,awake
awaken,awaken,awaken,awaken,awaken,awaken
away,away,away,away,away,away
awful,aw,awful,awful,awful,awful
awfully,aw,awfully,awfully,awfully,awfully
awhile,awhil,awhile,awhile,awhile,awhile
ax,ax,ax,ax,ax,ax
ace,ace,ace,ace,ace,ace
baa,baa,baa,baa,baa,baa
babe,babe,babe,babe,babe,babe
babies,babi,baby,baby,baby,baby
baby,babi,baby,baby,baby,baby
back,back,back,back,back,back
background,background,background,background,background,background
backward,backward,backward,backward,backward,backward
backwards,backward,backwards,backwards,backwards,backwards
bacon,bacon,bacon,bacon,bacon,bacon
bad,bad,bad,bad,bad,bad
badge,badg,badge,badge,badge,badge
badly,badli,badly,badly,badly,badly
bag,bag,bag,bag,bag,bag
bake,bake,bake,bake,bake,bake
baker,baker,baker,baker,baker,baker
bakery,bakeri,bakery,bakery,bakery,bakery
baking,bake,baking,bake,baking,baking
ball,ball,ball,ball,ball,ball
balloon,balloon,balloon,balloon,balloon,balloon
banana,banana,banana,banana,banana,banana
band,band,band,band,band,band
bandage,bandag,bandage,bandage,bandage,bandage
bang,bang,bang,bang,bang,bang
banjo,banjo,banjo,banjo,banjo,banjo
bank,bank,bank,bank,bank,bank
banker,banker,banker,banker,banker,banker
bar,bar,bar,bar,bar,bar
barber,barber,barber,barber,barber,barber
bare,bare,bare,bare,bare,bare
barefoot,barefoot,barefoot,barefoot,barefoot,barefoot
barely,bare,barely,barely,barely,barely
bark,bark,bark,bark,bark,bark
barn,barn,barn,barn,barn,barn
barrel,barrel,barrel,barrel,barrel,barrel
base,base,base,base,base,base
baseball,basebal,baseball,baseball,baseball,baseball
basement,basement,basement,basement,basement,basement
basket,basket,basket,basket,basket,basket
bat,bat,bat,bat,bat,bat
batch,batch,batch,batch,batch,batch
bath,bath,bath,bath,bath,bath
bathe,bath,bathe,bathe,bathe,bathe
bathing,bath,bathing,bath,bathing,bathing
bathroom,bathroom,bathroom,bathroom,bathroom,bathroom
bathtub,bathtub,bathtub,bathtub,bathtub,bathtub
battle,battl,battle,battle,battle,battle
battleship,battleship,battleship,battleship,battleship,battleship
bay,bay,bay,bay,bay,bay
be,be,be,be,be,be
beach,beach,beach,beach,beach,beach
bead,bead,bead,bead,bead,bead
beam,beam,beam,beam,beam,beam
bean,bean,bean,bean,bean,bean
bear,bear,bear,bear,bear,bear
beard,beard,beard,beard,beard,beard
beast,beast,beast,beast,beast,beast
beat,beat,beat,beat,beat,beat
beating,beat,beating,beat,beating,beating
beautiful,beauti,beautiful,beautiful,beautiful,beautiful
beautify,beautifi,beautify,beautify,beautify,beautify
beauty,beauti,beauty,beauty,beauty,beauty
became,becam,became,become,became,became
because,becaus,because,because,because,because
become,becom,become,become,become,become
becoming,becom,becoming,become,becoming,becoming
bed,bed,bed,bed,bed,bed
bedbug,bedbug,bedbug,bedbug,bedbug,bedbug
bedroom,bedroom,bedroom,bedroom,bedroom,bedroom
bedspread,bedspread,bedspread,bedspread,bedspread,bedspread
bedtime,bedtim,bedtime,bedtime,bedtime,bedtime
bee,bee,bee,bee,bee,bee
beech,beech,beech,beech,beech,beech
beef,beef,beef,beef,beef,beef
beefsteak,beefsteak,beefsteak,beefsteak,beefsteak,beefsteak
beehive,beehiv,beehive,beehive,beehive,beehive
been,been,been,be,been,been
beer,beer,beer,beer,beer,beer
beet,beet,beet,beet,beet,beet
before,befor,before,before,before,before
beg,beg,beg,beg,beg,beg
began,began,began,begin,began,began
beggar,beggar,beggar,beggar,beggar,beggar
begged,beg,begged,beg,begged,begged
begin,begin,begin,begin,begin,begin
beginning,begin,beginning,begin,beginning,beginning
begun,begun,begun,begin,begun,begun
behave,behav,behave,behave,behave,behave
behind,behind,behind,behind,behind,behind
being,be,being,be,being,being
believe,believ,believe,believe,believe,believe
bell,bell,bell,bell,bell,bell
belong,belong,belong,belong,belong,belong
below,below,below,below,below,below
belt,belt,belt,belt,belt,belt
bench,bench,bench,bench,bench,bench
bend,bend,bend,bend,bend,bend
beneath,beneath,beneath,beneath,beneath,beneath
bent,bent,bent,bend,bent,bent
berries,berri,berry,berry,berry,berry
berry,berri,berry,berry,berry,berry
beside,besid,beside,beside,beside,beside
besides,besid,besides,besides,besides,besides
best,best,best,best,best,best
bet,bet,bet,bet,bet,bet
better,better,better,better,better,better
between,between,between,between,between,between
bib,bib,bib,bib,bib,bib
bible,bibl,bible,bible,bible,bible
bicycle,bicycl,bicycle,bicycle,bicycle,bicycle
bid,bid,bid,bid,bid,bid
big,big,big,big,big,big
bigger,bigger,bigger,bigger,bigger,bigger
bill,bill,bill,bill,bill,bill
billboard,billboard,billboard,billboard,billboard,billboard
bin,bin,bin,bin,bin,bin
bind,bind,bind,bind,bind,bind
bird,bird,bird,bird,bird,bird
birth,birth,birth,birth,birth,birth
birthday,birthday,birthday,birthday,birthday,birthday
biscuit,biscuit,biscuit,biscuit,biscuit,biscuit
bit,bit,bit,bite,bit,bit
bite,bite,bite,bite,bite,bite
biting,bite,biting,bite,biting,biting
bitter,bitter,bitter,bitter,bitter,bitter
black,black,black,black,black,black
blackberry,blackberri,blackberry,blackberry,blackberry,blackberry
blackbird,blackbird,blackbird,blackbird,blackbird,blackbird
blackboard,blackboard,blackboard,blackboard,blackboard,blackboard
blackness,black,blackness,blackness,blackness,blackness
blacksmith,blacksmith,blacksmith,blacksmith,blacksmith,blacksmith
blame,blame,blame,blame,blame,blame
blank,blank,blank,blank,blank,blank
blanket,blanket,blanket,blanket,blanket,blanket
blast,blast,blast,blast,blast,blast
blaze,blaze,blaze,blaze,blaze,blaze
bleed,bleed,bleed,bleed,bleed,bleed
bless,bless,bless,bless,bless,bless
blessing,bless,blessing,bless,blessing,blessing
blew,blew,blew,blow,blew,blew
blind,blind,blind,blind,blind,blind
blindfold,blindfold,blindfold,blindfold,blindfold,blindfold
blinds,blind,blind,blind,blind,blind
block,block,block,block,block,block
blood,blood,blood,blood,blood,blood
bloom,bloom,bloom,bloom,bloom,bloom
blossom,blossom,blossom,blossom,blossom,blossom
blot,blot,blot,blot,blot,blot
blow,blow,blow,blow,blow,blow
blue,blue,blue,blue,blue,blue
blueberry,blueberri,blueberry,blueberry,blueberry,blueberry
bluebird,bluebird,bluebird,bluebird,bluebird,bluebird
blue jay,blue jay,blue jay,blue jay,blue jay,blue jay
blush,blush,blush,blush,blush,blush
board,board,board,board,board,board
boast,boast,boast,boast,boast,boast
boat,boat,boat,boat,boat,boat
bob,bob,bob,bob,bob,bob
bobwhite,bobwhit,bobwhite,bobwhite,bobwhite,bobwhite
bodies,bodi,body,body,body,body
body,bodi,body,body,body,body
boil,boil,boil,boil,boil,boil
boiler,boiler,boiler,boiler,boiler,boiler
bold,bold,bold,bold,bold,bold
bone,bone,bone,bone,bone,bone
bonnet,bonnet,bonnet,bonnet,bonnet,bonnet
boo,boo,boo,boo,boo,boo
book,book,book,book,book,book
bookcase,bookcas,bookcase,bookcase,bookcase,bookcase
bookkeeper,bookkeep,bookkeeper,bookkeeper,bookkeeper,bookkeeper
boom,boom,boom,boom,boom,boom
boot,boot,boot,boot,boot,boot
born,born,born,bear,born,born
borrow,borrow,borrow,borrow,borrow,borrow
boss,boss,bos,boss,bos,bos
both,both,both,both,both,both
bother,bother,bother,bother,bother,bother
bottle,bottl,bottle,bottle,bottle,bottle
bottom,bottom,bottom,bottom,bottom,bottom
bought,bought,bought,buy,bought,bought
bounce,bounc,bounce,bounce,bounce,bounce
bow,bow,bow,bow,bow,bow
bowwow,bowwow,bowwow,bowwow,bowwow,bowwow
bowl,bowl,bowl,bowl,bowl,bowl
box,box,box,box,box,box
boxcar,boxcar,boxcar,boxcar,boxcar,boxcar
boxer,boxer,boxer,boxer,boxer,boxer
boxes,box,box,box,box,box
boy,boy,boy,boy,boy,boy
boyhood,boyhood,boyhood,boyhood,boyhood,boyhood
bracelet,bracelet,bracelet,bracelet,bracelet,bracelet
brain,brain,brain,brain,brain,brain
brake,brake,brake,brake,brake,brake
bran,bran,bran,bran,bran,bran
branch,branch,branch,branch,branch,branch
brass,brass,brass,brass,brass,brass
brave,brave,brave,brave,brave,brave
bread,bread,bread,bread,bread,bread
break,break,break,break,break,break
breakfast,breakfast,breakfast,breakfast,breakfast,breakfast
breast,breast,breast,breast,breast,breast
breath,breath,breath,breath,breath,breath
breathe,breath,breathe,breathe,breathe,breathe
breeze,breez,breeze,breeze,breeze,breeze
brick,brick,brick,brick,brick,brick
bride,bride,bride,bride,bride,bride
bridge,bridg,bridge,bridge,bridge,bridge
bright,bright,bright,bright,bright,bright
brightness,bright,brightness,brightness,brightness,brightness
bring,bring,bring,bring,bring,bring
broad,broad,broad,broad,broad,broad
broadcast,broadcast,broadcast,broadcast,broadcast,broadcast
broke,broke,broke,break,broke,broke
broken,broken,broken,break,broken,broken
brook,brook,brook,brook,brook,brook
broom,broom,broom,broom,broom,broom
brother,brother,brother,brother,brother,brother
brought,brought,brought,bring,brought,brought
brown,brown,brown,brown,brown,brown
brush,brush,brush,brush,brush,brush
bubble,bubbl,bubble,bubble,bubble,bubble
bucket,bucket,bucket,bucket,bucket,bucket
buckle,buckl,buckle,buckle,buckle,buckle
bud,bud,bud,bud,bud,bud
buffalo,buffalo,buffalo,buffalo,buffalo,buffalo
bug,bug,bug,bug,bug,bug
buggy,buggi,buggy,buggy,buggy,buggy
build,build,build,build,build,build
building,build,building,build,building,building
built,built,built,build,built,built
bulb,bulb,bulb,bulb,bulb,bulb
bull,bull,bull,bull,bull,bull
bullet,bullet,bullet,bullet,bullet,bullet
bum,bum,bum,bum,bum,bum
bumblebee,bumblebe,bumblebee,bumblebee,bumblebee,bumblebee
bump,bump,bump,bump,bump,bump
bun,bun,bun,bun,bun,bun
bunch,bunch,bunch,bunch,bunch,bunch
bundle,bundl,bundle,bundle,bundle,bundle
bunny,bunni,bunny,bunny,bunny,bunny
burn,burn,burn,burn,burn,burn
burst,burst,burst,burst,burst,burst
bury,buri,bury,bury,bury,bury
bus,bu,bus,bus,bus,bus
bush,bush,bush,bush,bush,bush
bushel,bushel,bushel,bushel,bushel,bushel
business,busi,business,business,business,business
busy,busi,busy,busy,busy,busy
but,but,but,but,but,but
butcher,butcher,butcher,butcher,butcher,butcher
butt,butt,butt,butt,butt,butt
butter,butter,butter,butter,butter,butter
buttercup,buttercup,buttercup,buttercup,buttercup,buttercup
butterfly,butterfli,butterfly,butterfly,butterfly,butterfly
buttermilk,buttermilk,buttermilk,buttermilk,buttermilk,buttermilk
butterscotch,butterscotch,butterscotch,butterscotch,butterscotch,butterscotch
button,button,button,button,button,button
buttonhole,buttonhol,buttonhole,buttonhole,buttonhole,buttonhole
buy,buy,buy,buy,buy,buy
buzz,buzz,buzz,buzz,buzz,buzz
by,by,by,by,by,by
bye,bye,bye,bye,bye,bye
cab,cab,cab,cab,cab,cab
cabbage,cabbag,cabbage,cabbage,cabbage,cabbage
cabin,cabin,cabin,cabin,cabin,cabin
cabinet,cabinet,cabinet,cabinet,cabinet,cabinet
cackle,cackl,cackle,cackle,cackle,cackle
cage,cage,cage,cage,cage,cage
cake,cake,cake,cake,cake,cake
calendar,calendar,calendar,calendar,calendar,calendar
calf,calf,calf,calf,calf,calf
call,call,call,call,call,call
caller,caller,caller,caller,caller,caller
calling,call,calling,call,calling,calling
came,came,came,come,came,came
camel,camel,camel,camel,camel,camel
camp,camp,camp,camp,camp,camp
campfire,campfir,campfire,campfire,campfire,campfire
can,can,can,can,can,can
can't,can't,can't,can't,can't,can't
canal,canal,canal,canal,canal,canal
canary,canari,canary,canary,canary,canary
candle,candl,candle,candle,candle,candle
candlestick,candlestick,candlestick,candlestick,candlestick,candlestick
candy,candi,candy,candy,candy,candy
cane,cane,cane,cane,cane,cane
cannon,cannon,cannon,cannon,cannon,cannon
cannot,cannot,cannot,cannot,cannot,cannot
canoe,cano,canoe,canoe,canoe,canoe
canyon,canyon,canyon,canyon,canyon,canyon
cap,cap,cap,cap,cap,cap
cape,cape,cape,cape,cape,cape
capital,capit,capital,capital,capital,capital
captain,captain,captain,captain,captain,captain
car,car,car,car,car,car
card,card,card,card,card,card
cardboard,cardboard,cardboard,cardboard,cardboard,cardboard
care,care,care,care,care,care
careful,care,careful,careful,careful,careful
careless,careless,careless,careless,careless,careless
carelessness,careless,carelessness,carelessness,carelessness,carelessness
carload,carload,carload,carload,carload,carload
carpenter,carpent,carpenter,carpenter,carpenter,carpenter
carpet,carpet,carpet,carpet,carpet,carpet
carriage,carriag,carriage,carriage,carriage,carriage
carrot,carrot,carrot,carrot,carrot,carrot
carry,carri,carry,carry,carry,carry
cart,cart,cart,cart,cart,cart
carve,carv,carve,carve,carve,carve
case,case,case,case,case,case
cash,cash,cash,cash,cash,cash
cashier,cashier,cashier,cashier,cashier,cashier
castle,castl,castle,castle,castle,castle
cat,cat,cat,cat,cat,cat
catbird,catbird,catbird,catbird,catbird,catbird
catch,catch,catch,catch,catch,catch
catcher,catcher,catcher,catcher,catcher,catcher
caterpillar,caterpillar,caterpillar,caterpillar,caterpillar,caterpillar
catfish,catfish,catfish,catfish,catfish,catfish
catsup,catsup,catsup,catsup,catsup,catsup
cattle,cattl,cattle,cattle,cattle,cattle
caught,caught,caught,catch,caught,caught
cause,caus,cause,cause,cause,cause
cave,cave,cave,cave,cave,cave
ceiling,ceil,ceiling,ceiling,ceiling,ceiling
cell,cell,cell,cell,cell,cell
cellar,cellar,cellar,cellar,cellar,cellar
cent,cent,cent,cent,cent,cent
center,center,center,center,center,center
cereal,cereal,cereal,cereal,cereal,cereal
certain,certain,certain,certain,certain,certain
certainly,certainli,certainly,certainly,certainly,certainly
chain,chain,chain,chain,chain,chain
chair,chair,chair,chair,chair,chair
chalk,chalk,chalk,chalk,chalk,chalk
champion,champion,champion,champion,champion,champion
chance,chanc,chance,chance,chance,chance
change,chang,change,change,change,change
chap,chap,chap,chap,chap,chap
charge,charg,charge,charge,charge,charge
charm,charm,charm,charm,charm,charm
chart,chart,chart,chart,chart,chart
chase,chase,chase,chase,chase,chase
chatter,chatter,chatter,chatter,chatter,chatter
cheap,cheap,cheap,cheap,cheap,cheap
cheat,cheat,cheat,cheat,cheat,cheat
check,check,check,check,check,check
checkers,checker,checker,checker,checker,checker
cheek,cheek,cheek,cheek,cheek,cheek
cheer,cheer,cheer,cheer,cheer,cheer
cheese,chees,cheese,cheese,cheese,cheese
cherry,cherri,cherry,cherry,cherry,cherry
chest,chest,chest,chest,chest,chest
chew,chew,chew,chew,chew,chew
chick,chick,chick,chick,chick,chick
chicken,chicken,chicken,chicken,chicken,chicken
chief,chief,chief,chief,chief,chief
child,child,child,child,child,child
childhood,childhood,childhood,childhood,childhood,childhood
children,children,child,children,child,child
chill,chill,chill,chill,chill,chill
chilly,chilli,chilly,chilly,chilly,chilly
chimney,chimney,chimney,chimney,chimney,chimney
chin,chin,chin,chin,chin,chin
china,china,china,china,china,china
chip,chip,chip,chip,chip,chip
chipmunk,chipmunk,chipmunk,chipmunk,chipmunk,chipmunk
chocolate,chocol,chocolate,chocolate,chocolate,chocolate
choice,choic,choice,choice,choice,choice
choose,choos,choose,choose,choose,choose
chop,chop,chop,chop,chop,chop
chorus,choru,chorus,chorus,chorus,chorus
chose,chose,chose,choose,chose,chose
chosen,chosen,chosen,choose,chosen,chosen
christen,christen,christen,christen,christen,christen
christmas,christma,christmas,christmas,christmas,christmas
church,church,church,church,church,church
churn,churn,churn,churn,churn,churn
cigarette,cigarett,cigarette,cigarette,cigarette,cigarette
circle,circl,circle,circle,circle,circle
circus,circu,circus,circus,circus,circus
citizen,citizen,citizen,citizen,citizen,citizen
city,citi,city,city,city,city
clang,clang,clang,clang,clang,clang
clap,clap,clap,clap,clap,clap
class,class,class,class,class,class
classmate,classmat,classmate,classmate,classmate,classmate
classroom,classroom,classroom,classroom,classroom,classroom
claw,claw,claw,claw,claw,claw
clay,clay,clay,clay,clay,clay
clean,clean,clean,clean,clean,clean
cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
clear,clear,clear,clear,clear,clear
clerk,clerk,clerk,clerk,clerk,clerk
clever,clever,clever,clever,clever,clever
click,click,click,click,click,click
cliff,cliff,cliff,cliff,cliff,cliff
climb,climb,climb,climb,climb,climb
clip,clip,clip,clip,clip,clip
cloak,cloak,cloak,cloak,cloak,cloak
clock,clock,clock,clock,clock,clock
close,close,close,close,close,close
closet,closet,closet,closet,closet,closet
cloth,cloth,cloth,cloth,cloth,cloth
clothes,cloth,clothes,clothe,clothes,clothes
clothing,cloth,clothing,clothe,clothing,clothing
cloud,cloud,cloud,cloud,cloud,cloud
cloudy,cloudi,cloudy,cloudy,cloudy,cloudy
clover,clover,clover,clover,clover,clover
clown,clown,clown,clown,clown,clown
club,club,club,club,club,club
cluck,cluck,cluck,cluck,cluck,cluck
clump,clump,clump,clump,clump,clump
coach,ach,coach,coach,coach,coach
coal,al,coal,coal,coal,coal
coast,ast,coast,coast,coast,coast
coat,at,coat,coat,coat,coat
cob,b,cob,cob,cob,cob
cobbler,cobbler,cobbler,cobbler,cobbler,cobbler
cocoa,cocoa,cocoa,cocoa,cocoa,cocoa
coconut,coconut,coconut,coconut,coconut,coconut
cocoon,coon,cocoon,cocoon,cocoon,cocoon
cod,d,cod,cod,cod,cod
codfish,codfish,codfish,codfish,codfish,codfish
coffee,coffe,coffee,coffee,coffee,coffee
coffeepot,coffeepot,coffeepot,coffeepot,coffeepot,coffeepot
coin,in,coin,coin,coin,coin
cold,cold,cold,cold,cold,cold
collar,collar,collar,collar,collar,collar
college,colleg,college,college,college,college
color,color,color,color,color,color
colored,lore,colored,color,colored,colored
colt,colt,colt,colt,colt,colt
column,column,column,column,column,column
comb,mb,comb,comb,comb,comb
come,me,come,come,come,come
comfort,comfort,comfort,comfort,comfort,comfort
comic,comic,comic,comic,comic,comic
coming,ming,coming,come,coming,coming
company,compani,company,company,company,company
compare,compar,compare,compare,compare,compare
conductor,conductor,conductor,conductor,conductor,conductor
cone,ne,cone,cone,cone,cone
connect,connect,connect,connect,connect,connect
coo,o,coo,coo,coo,coo
cook,ok,cook,cook,cook,cook
cooked,cook,cooked,cook,cooked,cooked
cookie,cooki,cookie,cookie,cookie,cookie
cookies,cooki,cooky,cookies,cooky,cooky
cooking,cook,cooking,cook,cooking,cooking
cook,ok,cook,cook,cook,cook
cool,cool,cool,cool,cool,cool
cooler,cooler,cooler,cooler,cooler,cooler
coop,coop,coop,coop,coop,coop
copper,copper,copper,copper,copper,copper
copy,copi,copy,copy,copy,copy
cord,cord,cord,cord,cord,cord
cork,cork,cork,cork,cork,cork
corn,rn,corn,corn,corn,corn
corner,corner,corner,corner,corner,corner
correct,correct,correct,correct,correct,correct
cost,st,cost,cost,cost,cost
cot,t,cot,cot,cot,cot
cottage,cottag,cottage,cottage,cottage,cottage
cotton,cotton,cotton,cotton,cotton,cotton
couch,couch,couch,couch,couch,couch
cough,ugh,cough,cough,cough,cough
could,could,could,could,could,could
couldn't,couldn't,couldn't,couldn't,couldn't,couldn't
count,t,count,count,count,count
counter,counter,counter,counter,counter,counter
country,tri,country,country,country,country
county,counti,county,county,county,county
course,cours,course,course,course,course
court,court,court,court,court,court
cousin,cousin,cousin,cousin,cousin,cousin
cover,cover,cover,cover,cover,cover
cow,w,cow,cow,cow,cow
coward,ward,coward,coward,coward,coward
cowardly,cowardli,cowardly,cowardly,cowardly,cowardly
cowboy,cowboy,cowboy,cowboy,cowboy,cowboy
cozy,cozi,cozy,cozy,cozy,cozy
crab,crab,crab,crab,crab,crab
crack,crack,crack,crack,crack,crack
cracker,cracker,cracker,cracker,cracker,cracker
cradle,cradl,cradle,cradle,cradle,cradle
cramps,cramp,cramp,cramp,cramp,cramp
cranberry,cranberri,cranberry,cranberry,cranberry,cranberry
crank,crank,crank,crank,crank,crank
cranky,cranki,cranky,cranky,cranky,cranky
crash,crash,crash,crash,crash,crash
crawl,crawl,crawl,crawl,crawl,crawl
crazy,crazi,crazy,crazy,crazy,crazy
cream,cream,cream,cream,cream,cream
creamy,creami,creamy,creamy,creamy,creamy
creek,creek,creek,creek,creek,creek
creep,creep,creep,creep,creep,creep
crept,crept,crept,creep,crept,crept
cried,cri,cried,cry,cried,cried
cries,cri,cry,cry,cry,cry
croak,croak,croak,croak,croak,croak
crook,crook,crook,crook,crook,crook
crooked,crook,crooked,crook,crooked,crooked
crop,crop,crop,crop,crop,crop
cross,cross,cross,cross,cross,cross
crossed,cross,crossed,cross,crossed,crossed
crossing,cross,crossing,cross,crossing,crossing
crow,crow,crow,crow,crow,crow
crowd,crowd,crowd,crowd,crowd,crowd
crowded,crowd,crowded,crowd,crowded,crowded
crown,crown,crown,crown,crown,crown
cruel,cruel,cruel,cruel,cruel,cruel
crumb,crumb,crumb,crumb,crumb,crumb
crumble,crumbl,crumble,crumble,crumble,crumble
crush,crush,crush,crush,crush,crush
crust,crust,crust,crust,crust,crust
cry,cri,cry,cry,cry,cry
cub,cub,cub,cub,cub,cub
cuff,cuff,cuff,cuff,cuff,cuff
cup,cup,cup,cup,cup,cup
cupboard,cupboard,cupboard,cupboard,cupboard,cupboard
cupful,cup,cupful,cupful,cupful,cupful
cure,cure,cure,cure,cure,cure
curl,curl,curl,curl,curl,curl
curly,curli,curly,curly,curly,curly
curtain,curtain,curtain,curtain,curtain,curtain
curve,curv,curve,curve,curve,curve
cushion,cushion,cushion,cushion,cushion,cushion
custard,custard,custard,custard,custard,custard
customer,custom,customer,customer,customer,customer
cut,cut,cut,cut,cut,cut
cute,cute,cute,cute,cute,cute
cutting,cut,cutting,cut,cutting,cutting
dab,dab,dab,dab,dab,dab
dad,dad,dad,dad,dad,dad
daddy,daddi,daddy,daddy,daddy,daddy
daily,daili,daily,daily,daily,daily
dairy,dairi,dairy,dairy,dairy,dairy
daisy,daisi,daisy,daisy,daisy,daisy
dam,dam,dam,dam,dam,dam
damage,damag,damage,damage,damage,damage
dame,dame,dame,dame,dame,dame
damp,damp,damp,damp,damp,damp
dance,danc,dance,dance,dance,dance
dancer,dancer,dancer,dancer,dancer,dancer
dancing,danc,dancing,dance,dancing,dancing
dandy,dandi,dandy,dandy,dandy,dandy
danger,danger,danger,danger,danger,danger
dangerous,danger,dangerous,dangerous,dangerous,dangerous
dare,dare,dare,dare,dare,dare
dark,dark,dark,dark,dark,dark
darkness,dark,darkness,darkness,darkness,darkness
darling,darl,darling,darling,darling,darling
darn,darn,darn,darn,darn,darn
dart,dart,dart,dart,dart,dart
dash,dash,dash,dash,dash,dash
date,date,date,date,date,date
daughter,daughter,daughter,daughter,daughter,daughter
dawn,dawn,dawn,dawn,dawn,dawn
day,day,day,day,day,day
daybreak,daybreak,daybreak,daybreak,daybreak,daybreak
daytime,daytim,daytime,daytime,daytime,daytime
dead,ad,dead,dead,dead,dead
deaf,deaf,deaf,deaf,deaf,deaf
deal,al,deal,deal,deal,deal
dear,ar,dear,dear,dear,dear
death,death,death,death,death,death
december,decemb,december,december,december,december
decide,decid,decide,decide,decide,decide
deck,deck,deck,deck,deck,deck
deed,ed,deed,deed,deed,deed
deep,deep,deep,deep,deep,deep
deer,er,deer,deer,deer,deer
defeat,feat,defeat,defeat,defeat,defeat
defend,fend,defend,defend,defend,defend
defense,defens,defense,defense,defense,defense
delight,light,delight,delight,delight,delight
den,n,den,den,den,den
dentist,dentist,dentist,dentist,dentist,dentist
depend,pend,depend,depend,depend,depend
