baby,babi,baby,baby,baby,baby,1
back,back,back,back,back,back,1
bad,bad,bad,bad,bad,bad,1
bag,bag,bag,bag,bag,bag,1
ball,ball,ball,ball,ball,ball,1
bank,bank,bank,bank,bank,bank,1
bar,bar,bar,bar,bar,bar,1
base,base,base,base,base,base,1
basic,basic,basic,basic,basic,basic,1
bath,bath,bath,bath,bath,bath,1
be,be,be,be,be,be,1
beach,beach,beach,beach,beach,beach,1
bear,bear,bear,bear,bear,bear,1
beat,beat,beat,beat,beat,beat,1
beauty,beauti,beauty,beauty,beauty,beauty,1
because,becaus,because,because,because,because,1
become,becom,become,become,become,become,1
bed,bed,bed,bed,bed,bed,1
before,befor,before,before,before,before,1
begin,begin,begin,begin,begin,begin,1
behind,behind,behind,behind,behind,behind,1
believe,believ,believe,believe,believe,believe,1
below,below,below,below,below,below,1
beneath,beneath,beneath,beneath,beneath,beneath,1
beside,besid,beside,beside,beside,beside,1
best,best,best,best,best,best,1
bet,bet,bet,bet,bet,bet,1
better,better,better,better,better,better,1
between,between,between,between,between,between,1
beyond,beyond,beyond,beyond,beyond,beyond,1
big,big,big,big,big,big,1
bill,bill,bill,bill,bill,bill,1
billion,billion,billion,billion,billion,billion,1
bird,bird,bird,bird,bird,bird,1
birth,birth,birth,birth,birth,birth,1
bit,bit,bit,bite,bit,bit,1
black,black,black,black,black,black,1
blood,blood,blood,blood,blood,blood,1
blow,blow,blow,blow,blow,blow,1
blue,blue,blue,blue,blue,blue,1
board,board,board,board,board,board,1
boat,boat,boat,boat,boat,boat,1
body,bodi,body,body,body,body,1
bone,bone,bone,bone,bone,bone,1
book,book,book,book,book,book,1
boring,bore,boring,bore,boring,boring,1
born,born,born,bear,born,born,1
both,both,both,both,both,both,1
bother,bother,bother,bother,bother,bother,1
bottle,bottl,bottle,bottle,bottle,bottle,1
bottom,bottom,bottom,bottom,bottom,bottom,1
box,box,box,box,box,box,1
boy,boy,boy,boy,boy,boy,1
bread,bread,bread,bread,bread,bread,1
break,break,break,break,break,break,1
breakfast,breakfast,breakfast,breakfast,breakfast,breakfast,1
breath,breath,breath,breath,breath,breath,1
bright,bright,bright,bright,bright,bright,1
bring,bring,bring,bring,bring,bring,1
brother,brother,brother,brother,brother,brother,1
brown,brown,brown,brown,brown,brown,1
build,build,build,build,build,build,1
burn,burn,burn,burn,burn,burn,1
bus,bu,bus,bus,bus,bus,1
bush,bush,bush,bush,bush,bush,1
business,busi,business,business,business,business,1
busy,busi,busy,busy,busy,busy,1
but,but,but,but,but,but,1
buy,buy,buy,buy,buy,buy,1
by,by,by,by,by,by,1
cake,cake,cake,cake,cake,cake,1
call,call,call,call,call,call,1
camp,camp,camp,camp,camp,camp,1
can,can,can,can,can,can,1
car,car,car,car,car,car,1
card,card,card,card,card,card,1
care,care,care,care,care,care,1
carry,carri,carry,carry,carry,carry,1
case,case,case,case,case,case,1
cat,cat,cat,cat,cat,cat,1
catch,catch,catch,catch,catch,catch,1
cause,caus,cause,cause,cause,cause,1
center,center,center,center,center,center,1
certain,certain,certain,certain,certain,certain,1
chair,chair,chair,chair,chair,chair,1
chance,chanc,chance,chance,chance,chance,1
change,chang,change,change,change,change,1
charge,charg,charge,charge,charge,charge,1
cheap,cheap,cheap,cheap,cheap,cheap,1
check,check,check,check,check,check,1
chicken,chicken,chicken,chicken,chicken,chicken,1
child,child,child,child,child,child,1
chip,chip,chip,chip,chip,chip,1
choice,choic,choice,choice,choice,choice,1
choose,choos,choose,choose,choose,choose,1
christmas,christma,christmas,christmas,christmas,christmas,1
church,church,church,church,church,church,1
city,citi,city,city,city,city,1
class,class,class,class,class,class,1
clean,clean,clean,clean,clean,clean,1
clear,clear,clear,clear,clear,clear,1
climb,climb,climb,climb,climb,climb,1
clock,clock,clock,clock,clock,clock,1
close,close,close,close,close,close,1
closed,close,closed,close,closed,closed,1
clothes,cloth,clothes,clothe,clothes,clothes,1
club,club,club,club,club,club,1
coat,at,coat,coat,coat,coat,1
coffee,coffe,coffee,coffee,coffee,coffee,1
cold,cold,cold,cold,cold,cold,1
collect,collect,collect,collect,collect,collect,1
college,colleg,college,college,college,college,1
color,color,color,color,color,color,1
come,me,come,come,come,come,1
comfort,comfort,comfort,comfort,comfort,comfort,1
company,compani,company,company,company,company,1
complete,complet,complete,complete,complete,complete,1
computer,comput,computer,computer,computer,computer,1
concern,concern,concern,concern,concern,concern,1
consider,consid,consider,consider,consider,consider,1
continue,continu,continue,continue,continue,continue,1
control,control,control,control,control,control,1
conversation,convers,conversation,conversation,conversation,conversation,1
cook,ok,cook,cook,cook,cook,1
cool,cool,cool,cool,cool,cool,1
corner,corner,corner,corner,corner,corner,1
cost,st,cost,cost,cost,cost,1
could,could,could,could,could,could,1
count,t,count,count,count,count,1
country,tri,country,country,country,country,1
couple,coupl,couple,couple,couple,couple,1
course,cours,course,course,course,course,1
court,court,court,court,court,court,1
cover,cover,cover,cover,cover,cover,1
crazy,crazi,crazy,crazy,crazy,crazy,1
crime,crime,crime,crime,crime,crime,1
cross,cross,cross,cross,cross,cross,1
cry,cri,cry,cry,cry,cry,1
cup,cup,cup,cup,cup,cup,1
cut,cut,cut,cut,cut,cut,1
dad,dad,dad,dad,dad,dad,1
dance,danc,dance,dance,dance,dance,1
danger,danger,danger,danger,danger,danger,1
dark,dark,dark,dark,dark,dark,1
darling,darl,darling,darling,darling,darling,1
date,date,date,date,date,date,1
daughter,daughter,daughter,daughter,daughter,daughter,1
day,day,day,day,day,day,1
dead,ad,dead,dead,dead,dead,1
deal,al,deal,deal,deal,deal,1
dear,ar,dear,dear,dear,dear,1
death,death,death,death,death,death,1
decide,decid,decide,decide,decide,decide,1
deep,deep,deep,deep,deep,deep,1
definite,finit,definite,definite,definite,definite,1
degree,gree,degree,degree,degree,degree,1
delicious,delici,delicious,delicious,delicious,delicious,1
depend,pend,depend,depend,depend,depend,1
die,die,die,die,die,die,1
difference,differ,difference,difference,difference,difference,1
different,differ,different,different,different,different,1
difficult,difficult,difficult,difficult,difficult,difficult,1
dig,dig,dig,dig,dig,dig,1
dinner,dinner,dinner,dinner,dinner,dinner,1
dirty,dirti,dirty,dirty,dirty,dirty,1
discover,cover,discover,discover,discover,discover,1
do,do,do,do,do,do,1
doctor,doctor,doctor,doctor,doctor,doctor,1
dog,dog,dog,dog,dog,dog,1
door,door,door,door,door,door,1
double,doubl,double,double,double,double,1
doubt,doubt,doubt,doubt,doubt,doubt,1
down,down,down,down,down,down,1
draw,draw,draw,draw,draw,draw,1
dream,dream,dream,dream,dream,dream,1
dress,dress,dress,dress,dress,dress,1
drink,drink,drink,drink,drink,drink,1
drive,drive,drive,drive,drive,drive,1
drop,drop,drop,drop,drop,drop,1
drug,drug,drug,drug,drug,drug,1
dry,dri,dry,dry,dry,dry,1
during,dure,during,during,during,during,1
each,each,each,each,each,each,1
ear,ear,ear,ear,ear,ear,1
early,earli,early,early,early,early,1
earth,earth,earth,earth,earth,earth,1
east,east,east,east,east,east,1
easy,easi,easy,easy,easy,easy,1
eat,eat,eat,eat,eat,eat,1
edge,edg,edge,edge,edge,edge,1
educate,educ,educate,educate,educate,educate,1
egg,egg,egg,egg,egg,egg,1
eight,eight,eight,eight,eight,eight,1
either,either,either,either,either,either,1
eleven,eleven,eleven,eleven,eleven,eleven,1
else,els,else,else,else,else,1
employ,ploy,employ,employ,employ,employ,1
empty,empti,empty,empty,empty,empty,1
end,d,end,end,end,end,1
engine,engin,engine,engine,engine,engine,1
enjoy,joy,enjoy,enjoy,enjoy,enjoy,1
enough,ough,enough,enough,enough,enough,1
enter,enter,enter,enter,enter,enter,1
especially,especi,especially,especially,especially,especially,1
even,even,even,even,even,even,1
evening,even,evening,even,evening,evening,1
ever,ever,ever,ever,ever,ever,1
every,everi,every,every,every,every,1
exact,act,exact,exact,exact,exact,1
except,except,except,except,except,except,1
excite,cite,excite,excite,excite,excite,1
excuse,excus,excuse,excuse,excuse,excuse,1
expect,expect,expect,expect,expect,expect,1
expensive,pensiv,expensive,expensive,expensive,expensive,1
experience,experi,experience,experience,experience,experience,1
explain,plain,explain,explain,explain,explain,1
express,press,express,express,express,express,1
extra,extra,extra,extra,extra,extra,1
eye,eye,eye,eye,eye,eye,1
face,face,face,face,face,face,1
fact,fact,fact,fact,fact,fact,1
fair,fair,fair,fair,fair,fair,1
fall,fall,fall,fall,fall,fall,1
family,famili,family,family,family,family,1
far,far,far,far,far,far,1
farm,farm,farm,farm,farm,farm,1
fast,fast,fast,fast,fast,fast,1
fat,fat,fat,fat,fat,fat,1
father,father,father,father,father,father,1
favorite,favorit,favorite,favorite,favorite,favorite,1
fear,fear,fear,fear,fear,fear,1
feed,feed,feed,fee,feed,feed,1
feel,feel,feel,feel,feel,feel,1
fellow,fellow,fellow,fellow,fellow,fellow,1
few,few,few,few,few,few,1
field,field,field,field,field,field,1
fight,fight,fight,fight,fight,fight,1
figure,figur,figure,figure,figure,figure,1
fill,fill,fill,fill,fill,fill,1
film,film,film,film,film,film,1
final,final,final,final,final,final,1
find,find,find,find,find,find,1
fine,fine,fine,fine,fine,fine,1
finger,finger,finger,finger,finger,finger,1
finish,finish,finish,finish,finish,finish,1
fire,fire,fire,fire,fire,fire,1
first,first,first,first,first,first,1
fish,fish,fish,fish,fish,fish,1
fit,fit,fit,fit,fit,fit,1
five,five,five,five,five,five,1
fix,fix,fix,fix,fix,fix,1
flat,flat,flat,flat,flat,flat,1
floor,floor,floor,floor,floor,floor,1
flower,flower,flower,flower,flower,flower,1
fly,fli,fly,fly,fly,fly,1
follow,follow,follow,follow,follow,follow,1
food,food,food,food,food,food,1
foot,foot,foot,foot,foot,foot,1
football,footbal,football,football,football,football,1
for,for,for,for,for,for,1
force,forc,force,force,force,force,1
forest,st,forest,forest,forest,forest,1
forget,forget,forget,forget,forget,forget,1
form,form,form,form,form,form,1
fortunate,fortun,fortunate,fortunate,fortunate,fortunate,1
forward,forward,forward,forward,forward,forward,1
four,four,four,four,four,four,1
free,free,free,free,free,free,1
freeze,freez,freeze,freeze,freeze,freeze,1
fresh,fresh,fresh,fresh,fresh,fresh,1
friday,friday,friday,friday,friday,friday,1
friend,friend,friend,friend,friend,friend,1
fright,fright,fright,fright,fright,fright,1
from,from,from,from,from,from,1
front,front,front,front,front,front,1
full,full,full,full,full,full,1
fun,fun,fun,fun,fun,fun,1
further,further,further,further,further,further,1
game,game,game,game,game,game,1
garden,garden,garden,garden,garden,garden,1
gas,ga,gas,gas,gas,gas,1
general,gener,general,general,general,general,1
gentle,gentl,gentle,gentle,gentle,gentle,1
get,get,get,get,get,get,1
girl,girl,girl,girl,girl,girl,1
give,give,give,give,give,give,1
glad,glad,glad,glad,glad,glad,1
glance,glanc,glance,glance,glance,glance,1
glass,glass,glass,glass,glass,glass,1
go,go,go,go,go,go,1
god,god,god,god,god,god,1
gold,gold,gold,gold,gold,gold,1
good,good,good,good,good,good,1
goodbye,goodby,goodbye,goodbye,goodbye,goodbye,1
govern,govern,govern,govern,govern,govern,1
grandfather,grandfath,grandfather,grandfather,grandfather,grandfather,1
grass,grass,grass,grass,grass,grass,1
great,great,great,great,great,great,1
green,green,green,green,green,green,1
grey,grey,grey,grey,grey,grey,1
ground,ground,ground,grind,ground,ground,1
group,group,group,group,group,group,1
grow,grow,grow,grow,grow,grow,1
guess,guess,guess,guess,guess,guess,1
gun,gun,gun,gun,gun,gun,1
guy,guy,guy,guy,guy,guy,1
hair,hair,hair,hair,hair,hair,1
half,half,half,half,half,half,1
hall,hall,hall,hall,hall,hall,1
hand,hand,hand,hand,hand,hand,1
handle,handl,handle,handle,handle,handle,1
hang,hang,hang,hang,hang,hang,1
happen,happen,happen,happen,happen,happen,1
happy,happi,happy,happy,happy,happy,1
hard,hard,hard,hard,hard,hard,1
hardly,hardli,hardly,hardly,hardly,hardly,1
hat,hat,hat,hat,hat,hat,1
hate,hate,hate,hate,hate,hate,1
have,have,have,have,have,have,1
he,he,he,he,he,he,1
head,head,head,head,head,head,1
health,health,health,health,health,health,1
hear,hear,hear,hear,hear,hear,1
heart,heart,heart,heart,heart,heart,1
heat,heat,heat,heat,heat,heat,1
heavy,heavi,heavy,heavy,heavy,heavy,1
hell,hell,hell,hell,hell,hell,1
hello,hello,hello,hello,hello,hello,1
help,help,help,help,help,help,1
here,here,here,here,here,here,1
hide,hide,hide,hide,hide,hide,1
high,high,high,high,high,high,1
hill,hill,hill,hill,hill,hill,1
history,histori,history,history,history,history,1
hit,hit,hit,hit,hit,hit,1
hold,hold,hold,hold,hold,hold,1
hole,hole,hole,hole,hole,hole,1
holiday,holiday,holiday,holiday,holiday,holiday,1
home,home,home,home,home,home,1
honest,honest,honest,honest,honest,honest,1
honor,honor,honor,honor,honor,honor,1
hope,hope,hope,hope,hope,hope,1
horrible,horribl,horrible,horrible,horrible,horrible,1
horse,hors,horse,horse,horse,horse,1
hospital,hospit,hospital,hospital,hospital,hospital,1
hot,hot,hot,hot,hot,hot,1
hour,hour,hour,hour,hour,hour,1
house,hous,house,house,house,house,1
how,how,how,how,how,how,1
however,howev,however,however,however,however,1
huge,huge,huge,huge,huge,huge,1
human,human,human,human,human,human,1
hundred,hundr,hundred,hundred,hundred,hundred,1
hunger,hunger,hunger,hunger,hunger,hunger,1
hunt,hunt,hunt,hunt,hunt,hunt,1
hurry,hurri,hurry,hurry,hurry,hurry,1
hurt,hurt,hurt,hurt,hurt,hurt,1
husband,husband,husband,husband,husband,husband,1
i,i,i,i,i,i,1
ice,ice,ice,ice,ice,ice,1
idea,idea,idea,idea,idea,idea,1
if,if,if,if,if,if,1
imagine,imagin,imagine,imagine,imagine,imagine,1
important,import,important,important,important,important,1
in,in,in,in,in,in,1
indeed,deed,indeed,indeed,indeed,indeed,1
inform,form,inform,inform,inform,inform,1
inside,side,inside,inside,inside,inside,1
instead,stead,instead,instead,instead,instead,1
insure,sure,insure,insure,insure,insure,1
interest,est,interest,interest,interest,interest,1
internet,net,internet,internet,internet,internet,1
into,to,into,into,into,into,1
involve,involv,involve,involve,involve,involve,1
island,island,island,island,island,island,1
issue,issu,issue,issue,issue,issue,1
it,it,it,it,it,it,1
job,job,job,job,job,job,1
join,join,join,join,join,join,1
joke,joke,joke,joke,joke,joke,1
judge,judg,judge,judge,judge,judge,1
jump,jump,jump,jump,jump,jump,1
just,just,just,just,just,just,1
keep,keep,keep,keep,keep,keep,1
key,key,key,key,key,key,1
kick,kick,kick,kick,kick,kick,1
kid,kid,kid,kid,kid,kid,1
kill,kill,kill,kill,kill,kill,1
kind,kind,kind,kind,kind,kind,1
king,king,king,king,king,king,1
kiss,kiss,kiss,kiss,kiss,kiss,1
kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,1
knock,knock,knock,knock,knock,knock,1
know,know,know,know,know,know,1
lady,ladi,lady,lady,lady,lady,1
lake,lake,lake,lake,lake,lake,1
land,land,land,land,land,land,1
large,larg,large,large,large,large,1
last,last,last,last,last,last,1
late,late,late,late,late,late,1
laugh,laugh,laugh,laugh,laugh,laugh,1
law,law,law,law,law,law,1
lay,lay,lay,lay,lay,lay,1
lazy,lazi,lazy,lazy,lazy,lazy,1
lead,lead,lead,lead,lead,lead,1
learn,learn,learn,learn,learn,learn,1
least,least,least,least,least,least,1
leave,leav,leave,leave,leave,leave,1
left,left,left,leave,left,left,1
leg,leg,leg,leg,leg,leg,1
less,less,le,less,le,le,1
let,let,let,let,let,let,1
letter,letter,letter,letter,letter,letter,1
level,level,level,level,level,level,1
lie,lie,lie,lie,lie,lie,1
life,life,life,life,life,life,1
lift,lift,lift,lift,lift,lift,1
light,light,light,light,light,light,1
like,like,like,like,like,like,1
line,line,line,line,line,line,1
lip,lip,lip,lip,lip,lip,1
list,list,list,list,list,list,1
listen,listen,listen,listen,listen,listen,1
little,littl,little,little,little,little,1
live,live,live,live,live,live,1
load,load,load,load,load,load,1
local,local,local,local,local,local,1
lock,lock,lock,lock,lock,lock,1
long,long,long,long,long,long,1
look,look,look,look,look,look,1
lord,lord,lord,lord,lord,lord,1
lose,lose,lose,lose,lose,lose,1
lot,lot,lot,lot,lot,lot,1
loud,loud,loud,loud,loud,loud,1
love,love,love,love,love,love,1
lovely,love,lovely,lovely,lovely,lovely,1
low,low,low,low,low,low,1
luck,luck,luck,luck,luck,luck,1
lunch,lunch,lunch,lunch,lunch,lunch,1
machine,machin,machine,machine,machine,machine,1
mad,mad,mad,mad,mad,mad,1
main,main,main,main,main,main,1
major,major,major,major,major,major,1
make,make,make,make,make,make,1
man,man,man,man,man,man,1
manage,manag,manage,manage,manage,manage,1
many,mani,many,many,many,many,1
mark,mark,mark,mark,mark,mark,1
market,market,market,market,market,market,1
marry,marri,marry,marry,marry,marry,1
master,master,master,master,master,master,1
matter,matter,matter,matter,matter,matter,1
may,may,may,may,may,may,1
maybe,mayb,maybe,maybe,maybe,maybe,1
meal,meal,meal,meal,meal,meal,1
mean,mean,mean,mean,mean,mean,1
meet,meet,meet,meet,meet,meet,1
member,member,member,member,member,member,1
mention,mention,mention,mention,mention,mention,1
mess,mess,mess,mess,mess,mess,1
middle,dle,middle,middle,middle,middle,1
might,might,might,might,might,might,1
mile,mile,mile,mile,mile,mile,1
milk,milk,milk,milk,milk,milk,1
million,million,million,million,million,million,1
mind,mind,mind,mind,mind,mind,1
minute,minut,minute,minute,minute,minute,1
miss,s,miss,miss,miss,miss,1
mistake,take,mistake,mistake,mistake,mistake,1
mister,mister,mister,mister,mister,mister,1
moment,moment,moment,moment,moment,moment,1
monday,monday,monday,monday,monday,monday,1
money,money,money,money,money,money,1
month,month,month,month,month,month,1
more,more,more,more,more,more,1
morning,morn,morning,morning,morning,morning,1
most,most,most,most,most,most,1
mother,mother,mother,mother,mother,mother,1
mountain,mountain,mountain,mountain,mountain,mountain,1
mouth,mouth,mouth,mouth,mouth,mouth,1
move,move,move,move,move,move,1
movie,movi,movie,movie,movie,movie,1
mrs,mr,mr,mrs,mr,mr,1
much,much,much,much,much,much,1
mum,mum,mum,mum,mum,mum,1
music,music,music,music,music,music,1
must,must,must,must,must,must,1
name,name,name,name,name,name,1
nation,nation,nation,nation,nation,nation,1
nature,natur,nature,nature,nature,nature,1
naughty,naughti,naughty,naughty,naughty,naughty,1
near,near,near,near,near,near,1
neat,neat,neat,neat,neat,neat,1
necessary,necessari,necessary,necessary,necessary,necessary,1
neck,neck,neck,neck,neck,neck,1
need,need,need,need,need,need,1
neighbor,neighbor,neighbor,neighbor,neighbor,neighbor,1
never,never,never,never,never,never,1
new,new,new,new,new,new,1
news,news,news,news,news,news,1
next,next,next,next,next,next,1
nice,nice,nice,nice,nice,nice,1
night,night,night,night,night,night,1
nine,nine,nine,nine,nine,nine,1
no,no,no,no,no,no,1
nobody,nobodi,nobody,nobody,nobody,nobody,1
noise,nois,noise,noise,noise,noise,1
none,e,none,none,none,none,1
normal,normal,normal,normal,normal,normal,1
north,north,north,north,north,north,1
nose,nose,nose,nose,nose,nose,1
not,not,not,not,not,not,1
note,note,note,note,note,note,1
nothing,noth,nothing,nothing,nothing,nothing,1
notice,notic,notice,notice,notice,notice,1
now,now,now,now,now,now,1
number,number,number,number,number,number,1
nurse,nurs,nurse,nurse,nurse,nurse,1
obvious,obviou,obvious,obvious,obvious,obvious,1
odd,odd,odd,odd,odd,odd,1
of,of,of,of,of,of,1
off,off,off,off,off,off,1
offer,offer,offer,offer,offer,offer,1
office,offic,office,office,office,office,1
officer,offic,officer,officer,officer,officer,1
often,often,often,often,often,often,1
oil,oil,oil,oil,oil,oil,1
ok,ok,ok,ok,ok,ok,1
old,old,old,old,old,old,1
on,on,on,on,on,on,1
once,onc,once,once,once,once,1
one,one,one,one,one,one,1
only,onli,only,only,only,only,1
open,open,open,open,open,open,1
or,or,or,or,or,or,1
orange,orang,orange,orange,orange,orange,1
order,order,order,order,order,order,1
other,other,other,other,other,other,1
ought,ought,ought,ought,ought,ought,1
out,out,out,out,out,out,1
over,over,over,over,over,over,1
own,own,own,own,own,own,1
owned,own,owned,own,owned,owned,1
pack,pack,pack,pack,pack,pack,1
page,page,page,page,page,page,1
pain,pain,pain,pain,pain,pain,1
paint,paint,paint,paint,paint,paint,1
pair,pair,pair,pair,pair,pair,1
paper,paper,paper,paper,paper,paper,1
pardon,pardon,pardon,pardon,pardon,pardon,1
parent,parent,parent,parent,parent,parent,1
park,park,park,park,park,park,1
part,part,part,part,part,part,1
particular,particular,particular,particular,particular,particular,1
party,parti,party,party,party,party,1
pass,pass,pas,pass,pas,pas,1
past,past,past,past,past,past,1
pay,pay,pay,pay,pay,pay,1
penny,penni,penny,penny,penny,penny,1
people,peopl,people,people,people,people,1
perfect,perfect,perfect,perfect,perfect,perfect,1
perhaps,perhap,perhaps,perhaps,perhaps,perhaps,1
person,person,person,person,person,person,1
photograph,photograph,photograph,photograph,photograph,photograph,1
pick,pick,pick,pick,pick,pick,1
picture,pictur,picture,picture,picture,picture,1
piece,piec,piece,piece,piece,piece,1
place,place,place,place,place,place,1
plan,plan,plan,plan,plan,plan,1
plant,plant,plant,plant,plant,plant,1
play,play,play,play,play,play,1
please,pleas,please,please,please,please,1
plenty,plenti,plenty,plenty,plenty,plenty,1
plus,plu,plus,plus,plus,plus,1
point,point,point,point,point,point,1
police,polic,police,police,police,police,1
poor,poor,poor,poor,poor,poor,1
pop,pop,pop,pop,pop,pop,1
position,posit,position,position,position,position,1
possible,possibl,possible,possible,possible,possible,1
post,post,post,post,post,post,1
pot,pot,pot,pot,pot,pot,1
pound,pound,pound,pound,pound,pound,1
power,power,power,power,power,power,1
prepare,pare,prepare,prepare,prepare,prepare,1
present,sent,present,present,present,present,1
press,ss,press,press,press,press,1
pretty,pretti,pretty,pretty,pretty,pretty,1
price,price,price,price,price,price,1
prince,princ,prince,prince,prince,prince,1
prison,prison,prison,prison,prison,prison,1
probably,probabl,probably,probably,probably,probably,1
problem,problem,problem,problem,problem,problem,1
programmer,programm,programmer,programmer,programmer,programmer,1
promise,mise,promise,promise,promise,promise,1
proper,per,proper,proper,proper,proper,1
protect,protect,protect,protect,protect,protect,1
public,public,public,public,public,public,1
pull,pull,pull,pull,pull,pull,1
push,push,push,push,push,push,1
put,put,put,put,put,put,1
quarter,quarter,quarter,quarter,quarter,quarter,1
queen,queen,queen,queen,queen,queen,1
question,question,question,question,question,question,1
quick,quick,quick,quick,quick,quick,1
quiet,quiet,quiet,quiet,quiet,quiet,1
quite,quit,quite,quite,quite,quite,1
rabbit,rabbit,rabbit,rabbit,rabbit,rabbit,1
race,race,race,race,race,race,1
radio,radio,radio,radio,radio,radio,1
rain,rain,rain,rain,rain,rain,1
raise,rais,raise,raise,raise,raise,1
rate,rate,rate,rate,rate,rate,1
rather,rather,rather,rather,rather,rather,1
reach,ach,reach,reach,reach,reach,1
read,ad,read,read,read,read,1
ready,adi,ready,ready,ready,ready,1
real,al,real,real,real,real,1
realize,realiz,realize,realize,realize,realize,1
really,alli,really,really,really,really,1
reason,reason,reason,reason,reason,reason,1
recent,cent,recent,recent,recent,recent,1
record,cord,record,record,record,record,1
red,d,red,red,red,red,1
relate,late,relate,relate,relate,relate,1
remember,member,remember,remember,remember,remember,1
rent,nt,rent,rent,rent,rent,1
reply,pli,reply,reply,reply,reply,1
report,port,report,report,report,report,1
responsible,sponsibl,responsible,responsible,responsible,responsible,1
rest,st,rest,rest,rest,rest,1
return,turn,return,return,return,return,1
rich,rich,rich,rich,rich,rich,1
rid,rid,rid,rid,rid,rid,1
ride,ride,ride,ride,ride,ride,1
right,right,right,right,right,right,1
rights,right,right,right,right,right,1
ring,ring,ring,ring,ring,ring,1
rise,rise,rise,rise,rise,rise,1
river,river,river,river,river,river,1
road,road,road,road,road,road,1
rock,rock,rock,rock,rock,rock,1
roll,roll,roll,roll,roll,roll,1
room,room,room,room,room,room,1
rough,rough,rough,rough,rough,rough,1
round,round,round,round,round,round,1
rubbish,rubbish,rubbish,rubbish,rubbish,rubbish,1
rule,rule,rule,rule,rule,rule,1
run,run,run,run,run,run,1
sad,sad,sad,sad,sad,sad,1
safe,safe,safe,safe,safe,safe,1
sail,sail,sail,sail,sail,sail,1
same,same,same,same,same,same,1
saturday,saturday,saturday,saturday,saturday,saturday,1
save,save,save,save,save,save,1
say,say,say,say,say,say,1
scare,scare,scare,scare,scare,scare,1
school,school,school,school,school,school,1
science,scienc,science,science,science,science,1
sea,sea,sea,sea,sea,sea,1
seat,seat,seat,seat,seat,seat,1
second,second,second,second,second,second,1
secure,secur,secure,secure,secure,secure,1
see,see,see,see,see,see,1
seem,seem,seem,seem,seem,seem,1
self,self,self,self,self,self,1
sell,sell,sell,sell,sell,sell,1
send,send,send,send,send,send,1
sense,sens,sense,sense,sense,sense,1
serious,seriou,serious,serious,serious,serious,1
serve,serv,serve,serve,serve,serve,1
service,servic,service,service,service,service,1
set,set,set,set,set,set,1
settle,settl,settle,settle,settle,settle,1
seven,seven,seven,seven,seven,seven,1
several,sever,several,several,several,several,1
sex,sex,sex,sex,sex,sex,1
shake,shake,shake,shake,shake,shake,1
shall,shall,shall,shall,shall,shall,1
shape,shape,shape,shape,shape,shape,1
share,share,share,share,share,share,1
she,she,she,she,she,she,1
ship,ship,ship,ship,ship,ship,1
shirt,shirt,shirt,shirt,shirt,shirt,1
shoe,shoe,shoe,shoe,shoe,shoe,1
shoot,shoot,shoot,shoot,shoot,shoot,1
shop,shop,shop,shop,shop,shop,1
short,short,short,short,short,short,1
should,should,should,should,should,should,1
